 SSIMWave's Video Quality-of-Experience Monitor with a CLI for Windows (SQM-CLI-Win), Version 1.5.31.215

Reference video, F:\Kai\SQM\AutoTestingFramework\Win32\TestData\10-YUVTests\Leopard_1920x1080_24fps_8bit_444p.yuv,PID, N/A
Test video, F:\Kai\SQM\AutoTestingFramework\Win32\TestData\10-YUVTests\Leopard_768x432_24fps_8bit_420p.yuv,PID, 1

Report Date, 21-Dec, Report Time, 13:52:34
Test Video's Bit-rate, 95551 kbps, Reference Video's Bit-rate, 1194393 kbps
Test Video's Resolution, 768x432, Reference Video's Resolution, 1920x1080
Test Video's Framerate, 24, Reference Video's Framerate, 24
Number of frames processed, 10

SSIMplus QoE Scores Summary
Statistic,SSIMplusCore,iPhone 6 Plus,iPad Air 2,VT60,ThinkPad W540,Macbook Pro
Maximum,100,84,74,75,67,73
Minimum,100,84,74,75,67,73
Mean,100,84,74,75,67,73
Standard Deviation,0,0,0,0,0,0
Excellent (81-100),10%,10%,0%,0%,0%,0%
Good (61-80),0%,0%,10%,10%,10%,10%
Fair (41-60),0%,0%,0%,0%,0%,0%
Poor (21-40),0%,0%,0%,0%,0%,0%
Bad (0-20),0%,0%,0%,0%,0%,0%
Below threshold (0-70),0%,0%,0%,0%,10%,0%
Reference Video Temporal Alignment Offset (frames),0
Test Video Temporal Alignment Offset (frames),0

  SSIMplus QoE Scores 
Reference Video Period Start (sec), Reference Video Period End (sec), Test Video Period Start (sec), Test Video Period End (sec),SSIMplusCore,iPhone 6 Plus,iPad Air 2,VT60,ThinkPad W540,Macbook Pro,
0,0.4167,0,0.4167,100,84,74,75,67,73
